protocol_key,protocol,conn_state,flag_combo_label,is_handshake,is_teardown
117,etherip,INT,ETHERIP-INT,1,0
118,pri-enc,INT,PRI-ENC-INT,1,0
119,gmtp,INT,GMTP-INT,1,0
120,pnni,INT,PNNI-INT,1,0
121,ifmp,INT,IFMP-INT,1,0
122,aris,INT,ARIS-INT,1,0
123,qnx,INT,QNX-INT,1,0
124,a/n,INT,A/N-INT,1,0
125,scps,INT,SCPS-INT,1,0
126,snp,INT,SNP-INT,1,0
127,ipcomp,INT,IPCOMP-INT,1,0
128,compaq-peer,INT,COMPAQ-PEER-INT,1,0
129,ipx-n-ip,INT,IPX-N-IP-INT,1,0
130,vrrp,INT,VRRP-INT,1,0
131,zero,INT,ZERO-INT,1,0
132,pgm,INT,PGM-INT,1,0
133,iatp,INT,IATP-INT,1,0
134,ddx,INT,DDX-INT,1,0
135,l2tp,INT,L2TP-INT,1,0
136,srp,INT,SRP-INT,1,0
137,stp,INT,STP-INT,1,0
138,smp,INT,SMP-INT,1,0
139,uti,INT,UTI-INT,1,0
140,sm,INT,SM-INT,1,0
141,ptp,INT,PTP-INT,1,0
142,fire,INT,FIRE-INT,1,0
143,crtp,INT,CRTP-INT,1,0
144,isis,INT,ISIS-INT,1,0
145,crudp,INT,CRUDP-INT,1,0
146,sccopmce,INT,SCCOPMCE-INT,1,0
147,sps,INT,SPS-INT,1,0
148,pipe,INT,PIPE-INT,1,0
149,iplt,INT,IPLT-INT,1,0
150,unas,INT,UNAS-INT,1,0
151,fc,INT,FC-INT,1,0
152,ib,INT,IB-INT,1,0
153,icmp,TST,ICMP-TST,0,0
154,icmp,ECR,ICMP-ECR,0,0
155,udp,FIN,UDP-FIN,0,1
156,icmp,FIN,ICMP-FIN,0,1
157,udp,RST,UDP-RST,0,1
158,icmp,INT,ICMP-INT,1,0
159,icmp,RST,ICMP-RST,0,1
160,icmp,CON,ICMP-CON,0,0
